SECTION	Unnamed: 0	Unnamed: 1	PRESIDENTIAL PRIORITIES 13%	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	MDA OPERATIONAL PRIORITIES 25%	Unnamed: 2	SERVICE-WIDE PRIORITIES 37%
PRESIDENTIAL	1	Governance & Service Delivery	13	Strengthen and institutionalize the effective utilization of the Performance Management System (PMS) to enhance accountability, performance tracking, and service delivery outcomes across SERVICOM.	4	1	PMS Implementation Rate across Units 	1	Administration Unit 60%	Other Units - 40%			
PRESIDENTIAL						1	Percentage of staff with completed and approved performance contract aligned to SERVICOM objectives.	1					
PRESIDENTIAL						2	Percentage of performance reviews and appraisals completed within approved PMS timelines.	1					
PRESIDENTIAL				Initiate and institutionalize the digitization of records and work processes to improve information management, workflow efficiency, and readiness for the  adoption of an Enterprise Content Management (ECM) system.	4	2	Percentage of Staff Trained on Digital Records and Workflow Management	0.5	"ICT - 50%
Admin- 30%"	Other Units - 20%			
PRESIDENTIAL						1	Percentage increase in the use of digital documentation and approval processes compared to baseline.	0.5					
PRESIDENTIAL						1	Percentage of Transactions Processed Digitally	0.75					
PRESIDENTIAL				Initiate and implement quarterly citizens and stakeholder engagement sessions to communicate SERVICOM activities and serve as a feedback mechanism.	4	4	Total number of quarterly  engagement sessions held with citizens and stakeholders	4	Operations Unit - 40%	"Administration Unit - 30%
Public Awareness Unit- 30%"			
PRESIDENTIAL				Promote disability inclusion and accessibility awareness within SERVICOM to ensure inclusive internal service processes, communication, and staff conduct.	1	0.5	Percentage of SERVICOM Staff Trained on Accessibility Practices and Disability Awareness	0.5	Administration Unit 40%	"Public Awareness (40%)
Operations Unit (20%)
"			
PRESIDENTIAL						0.5	Percentage of SERVICOM public-facing information materials (service charters, feedback forms, website content, notices) available in accessible formats.	0.75					
MDA OPERATIONAL		Service Delivery Monitoring, Evaluation, and Compliance		Conduct SERVICOM Compliance Evaluations (SCE) across MDAs to assess service delivery performance	1.5	0.5	Number of MDAs evaluated through SCE annually	30	OPERATIONS		1	10	
MDA OPERATIONAL						0.5	Percentage of planned SCE exercises conducted as scheduled	1					
MDA OPERATIONAL						0.5	Timeliness of completion of SCE assessments and reports	0.9					
MDA OPERATIONAL				Present evaluation findings to MDAs to drive service improvement	1	0.5	Percentage of SCE reports presented to evaluated MDAs	1					
MDA OPERATIONAL						0.5	Timeliness of presentation after completion of evaluations	0.9					
MDA OPERATIONAL				Promote continuous performance improvement and accountability through engagement platforms	2	1	Number of breakfast meetings and networking seminars held	4					
MDA OPERATIONAL						1	Level of participation by MDAs and service heads	0.9					
MDA OPERATIONAL				Assess functionality and effectiveness of SERVICOM structures within MDAs	2	1	Number of MSU functionality evaluations conducted	20					
MDA OPERATIONAL						1	Percentage of evaluated MSUs meeting minimum functionality standards	80					
MDA OPERATIONAL				Sensitize MDAs and stakeholders on grievance redress and service standards	1	0.5	Number of GRM sensitization programmes conducted	6					
MDA OPERATIONAL						0.5	Level of MDA participation in Customer Service Week	1					
MDA OPERATIONAL				Support year-end performance review and institutional learning	1.5	0.75	Timely completion of end-of-year operational reports	1					
MDA OPERATIONAL						0.75	Percentage of operational activities reviewed and documented	1					
MDA OPERATIONAL				Facilitate  Service Chatered development	1	1	Percentage of MDAs with implementable Chatered	0.9					
MDA OPERATIONAL		Administrative Services, Staff Welfare, and Office Support		Strengthen staff and nodal officers' engagements, planning, and organizational alignment	2	1	Percentage of scheduled staff retreat conducted annually	0.8	ADMIN		2	7	
MDA OPERATIONAL						1	Percentage of nodal officersâ€™ meetings held as scheduled	0.8					
MDA OPERATIONAL				Ensure availability and effective management of office logistics and assets	2	0.666666667	Percentage of office vehicles in functional condition	0.8					
MDA OPERATIONAL						0.666666667	Percentage of office equipment serviceable as at when due	0.8					
MDA OPERATIONAL						0.666666667	Average response time to maintenance requests	0.8					
MDA OPERATIONAL				Ensure efficient records management and file movement	1	0.5	Percentage of file requests attended to without delay	0.8					
MDA OPERATIONAL						0.5	Accuracy of file tracking and movement records	1					
MDA OPERATIONAL				Ensure effective handling of office correspondence and mail dispatch	1	0.5	Percentage of incoming correspondence received and registered same day	0.9					
MDA OPERATIONAL						0.5	Percentage of outgoing correspondence dispatched within timelines	0.8					
MDA OPERATIONAL				Ensure efficient, transparent, and timely management of stores and inventory through proper custody, issuance, and replenishment of consumables and assets in support of uninterrupted administrative and operational activities within SERVICOM	1	0.5	Percentage of store items accurately recorded in the store ledger/inventory system	1					
MDA OPERATIONAL						0.25	Percentage of items restocked within approved timelines after reaching reorder level	0.8					
MDA OPERATIONAL						0.25	Percentage of store items with updated bin cards or inventory records	1					
MDA OPERATIONAL		Public Awareness, Advocacy, and Citizen Engagement		Enhance public awareness and visibility of SERVICOMâ€™s mandate, programmes, and achievements	2.5	1.5	Number of press interviews, media appearances, and programme features conducted (TV, radio, print)	20	PUBLIC AWARENESS		3	7	
MDA OPERATIONAL						1	Number of documentaries, jingles, and awareness materials produced and disseminated	5					
MDA OPERATIONAL				Leverage digital platforms and social media to expand SERVICOMâ€™s outreach and impact	1	0.5	Growth rate of followers and engagement across SERVICOM social media platforms	0.2					
MDA OPERATIONAL						0.5	Number of audio-visual advocacy materials produced and shared online	20					
MDA OPERATIONAL				Promote transparency and accountability through publication of SERVICOM reports and evaluations	1	0.5	Number of SERVICOM evaluation reports published in national dailies	5					
MDA OPERATIONAL						0.5	Timeliness of report dissemination	1					
MDA OPERATIONAL				Improve internal capacity and productivity for effective media and publicity operations	1.5	1	Percentage Turnaround time for media coverage and content production	1					
MDA OPERATIONAL						0.5	Availability and functionality of media and digital equipment	0.8					
MDA OPERATIONAL				Support national and global service delivery initiatives and campaigns	1	0.5	Percentage of planned national and global service delivery campaigns successfully implemented	0.8					
MDA OPERATIONAL						0.5	Percentage of MDAs that actively participated in Customer Service Week and related campaigns under SERVICOMâ€™s coordination	0.3					
MDA OPERATIONAL		Financial Management, Budgeting, and Accounting Services		Prepare and manage SERVICOMâ€™s annual budget in line with approved financial regulations	1	0.5	Timely preparation and submission of annual budget	1	FINANCE AND ACCOUNT		4	5	
MDA OPERATIONAL						0.5	Percentage of budget estimates prepared in line with approved guidelines	1					
MDA OPERATIONAL				Ensure accurate financial record-keeping and proper retirement of advances	1	0.5	Percentage of advances retired within approved timelines	1					
MDA OPERATIONAL						0.5	Percentage of vouchers with complete and accurate supporting documents	1					
MDA OPERATIONAL				Ensure proper verification, processing, and payment of financial transactions	1	0.3	Percentage of payment vouchers verified and processed in line with approval	1					
MDA OPERATIONAL						0.3	Percentage of payments effected based on duly approved memos	1					
MDA OPERATIONAL						0.4	Average turnaround time for processing payment vouchers	1					
MDA OPERATIONAL				Strengthen financial reporting and compliance with IPSAS (Accrual Basis)	2	1	Timely preparation and submission of annual financial statements	1					
MDA OPERATIONAL						1	Level of compliance with IPSAS (Accrual) requirements	1					
MDA OPERATIONAL		Internal Audit, Financial Control, and Compliance Assurance		Ensure timely audit, certification, and reporting of SERVICOM financial statements	1	0.3	Timely submission of annual, half-yearly, quarterly, and monthly audit reports	1	INTERNAL AUDIT		5	3	
MDA OPERATIONAL						0.3	Percentage of statutory audit reports submitted within approved timelines	1					
MDA OPERATIONAL						0.4	Compliance rate with reporting requirements of OAuGF and OAGF	1					
MDA OPERATIONAL				Strengthen pre-payment and post-payment audit controls	0.7	0.35	Percentage of payment vouchers subjected to pre-payment audit	1					
MDA OPERATIONAL						0.35	Percentage of post-payment audits conducted as scheduled	1					
MDA OPERATIONAL				Conduct routine and periodic audit of financial records and transactions	0.5	0.2	Percentage of monthly audits completed as planned	1					
MDA OPERATIONAL						0.3	Number of quarterly audit reviews conducted across departments	4					
MDA OPERATIONAL				Evaluate the effectiveness of internal controls and safeguard government assets	0.5	0.25	Percentage of capital assets audited quarterly	1					
MDA OPERATIONAL						0.25	Percentage of audit recommendations implemented by management	1					
MDA OPERATIONAL				Ensure proper auditing of revenue collection and remittance	0.3	0.15	Percentage of revenue collections audited	1					
MDA OPERATIONAL						0.15	Percentage of revenue remitted in full and on time	1					
